Algeria,DZA,0,Daily ICU occupancy per million,0.605
Algeria,DZA,1,Daily ICU occupancy per million,0.672
Algeria,DZA,2,Daily ICU occupancy per million,0.762
Algeria,DZA,3,Daily ICU occupancy per million,0.717
Algeria,DZA,4,Daily ICU occupancy per million,0.74
Algeria,DZA,5,Daily ICU occupancy per million,0.74
Algeria,DZA,6,Daily ICU occupancy per million,0.695
Algeria,DZA,7,Daily ICU occupancy per million,0.784
Algeria,DZA,8,Daily ICU occupancy per million,0.74
Algeria,DZA,9,Daily ICU occupancy per million,0.874
Algeria,DZA,10,Daily ICU occupancy per million,0.829
Algeria,DZA,11,Daily ICU occupancy per million,0.919
Algeria,DZA,12,Daily ICU occupancy per million,0.919
Algeria,DZA,13,Daily ICU occupancy per million,0.784
Algeria,DZA,14,Daily ICU occupancy per million,0.717
Algeria,DZA,15,Daily ICU occupancy per million,1.009
Algeria,DZA,16,Daily ICU occupancy per million,0.897
Algeria,DZA,17,Daily ICU occupancy per million,0.829
Algeria,DZA,18,Daily ICU occupancy per million,0.874
Algeria,DZA,19,Daily ICU occupancy per million,1.098
Algeria,DZA,20,Daily ICU occupancy per million,1.053
Algeria,DZA,21,Daily ICU occupancy per million,0.964
Algeria,DZA,22,Daily ICU occupancy per million,0.874
Algeria,DZA,23,Daily ICU occupancy per million,0.874
Algeria,DZA,24,Daily ICU occupancy per million,0.986
Algeria,DZA,25,Daily ICU occupancy per million,1.031
Algeria,DZA,26,Daily ICU occupancy per million,0.941
Algeria,DZA,27,Daily ICU occupancy per million,0.964
Algeria,DZA,28,Daily ICU occupancy per million,0.964
Algeria,DZA,29,Daily ICU occupancy per million,0.897
Algeria,DZA,30,Daily ICU occupancy per million,0.717
Algeria,DZA,31,Daily ICU occupancy per million,0.874
Algeria,DZA,32,Daily ICU occupancy per million,0.919
Algeria,DZA,33,Daily ICU occupancy per million,0.897
Algeria,DZA,34,Daily ICU occupancy per million,0.897
Algeria,DZA,35,Daily ICU occupancy per million,0.762
Algeria,DZA,36,Daily ICU occupancy per million,0.605
Algeria,DZA,37,Daily ICU occupancy per million,0.762
Algeria,DZA,38,Daily ICU occupancy per million,0.471
Algeria,DZA,39,Daily ICU occupancy per million,0.605
Algeria,DZA,40,Daily ICU occupancy per million,0.784
Algeria,DZA,41,Daily ICU occupancy per million,0.628
Algeria,DZA,42,Daily ICU occupancy per million,0.605
Algeria,DZA,43,Daily ICU occupancy per million,0.516
Algeria,DZA,44,Daily ICU occupancy per million,0.605
Algeria,DZA,45,Daily ICU occupancy per million,0.56
Algeria,DZA,46,Daily ICU occupancy per million,0.56
Algeria,DZA,47,Daily ICU occupancy per million,0.426
Algeria,DZA,48,Daily ICU occupancy per million,0.516
Algeria,DZA,49,Daily ICU occupancy per million,0.359
Algeria,DZA,50,Daily ICU occupancy per million,0.403
Algeria,DZA,51,Daily ICU occupancy per million,0.403
Algeria,DZA,52,Daily ICU occupancy per million,0.403
